SA2_MAINCODE_2011,SA2_NAME_2011,POSTCODE,
209011201,Ivanhoe East - Eaglemont,3079,
209011202,Montmorency - Briar Hill,3088,
209011203,Viewbank - Yallambie,3084,
209011204,Watsonia,3083,
209021205,Kingsbury,3083,
209021206,Preston,3058,
209021207,Reservoir - East,3072,
209021208,Reservoir - West,3058,
209031209,Eltham,3095,
209031210,Hurstbridge,3091,
209031211,Kinglake,3757,
209031212,Panton Hill - St Andrews,3097,
209031213,Plenty - Yarrambat,3088,
209031214,Research - North Warrandyte,3095,
209031215,Wattle Glen - Diamond Creek,3089,
209041216,Bundoora - North,3083,
209041217,Bundoora - West,3083,
209041218,Epping,3076,
209041219,Lalor,3074,
209041220,Mill Park - North,3076,
209041221,Mill Park - South,3082,
209041222,South Morang,3750,
209041223,Thomastown,3074,
209041224,Wallan,3658,
209041225,Whittlesea,3064,
210011226,Airport West,3042,
210011228,Keilor,3033,
210011229,Keilor East,3033,
210011230,Niddrie - Essendon West,3033,
210011231,Strathmore,3041,
210021232,Gisborne,3337,
210021233,Macedon,3437,
210021234,Riddells Creek,3431,
210021235,Romsey,3430,
210031236,Coburg North,3044,
210031237,Fawkner,3060,
210031238,Glenroy - Hadfield,3043,
210031239,Pascoe Vale,3044,
210041240,Sunbury,3063,
210041241,Sunbury - South,3427,
210051242,Broadmeadows,3047,
210051243,Campbellfield - Coolaroo,3047,
210051244,Craigieburn - Mickleham,3063,
210051245,Gladstone Park - Westmeadows,3043,
210051246,Greenvale - Bulla,3048,
210051247,Meadow Heights,3048,
210051248,Melbourne Airport,3036,
210051249,Roxburgh Park - Somerton,3059,
210051250,Tullamarine,3043,
211011251,Bayswater,3152,
211011252,Boronia - The Basin,3152,
211011253,Ferntree Gully,3156,
211011254,Knoxfield - Scoresby,3156,
211011255,Lysterfield,3156,
211011256,Rowville - Central,3178,
211011257,Rowville - North,3156,
211011258,Rowville - South,3178,
211011259,Wantirna,3152,
211011260,Wantirna South,3152,
211021261,Donvale - Park Orchards,3109,
211021262,Warrandyte - Wonga Park,3109,
211031263,Bayswater North,3137,
211031264,Croydon,3135,
211031265,Croydon Hills - Warranwood,3115,
211031266,Ringwood,3134,
211031267,Ringwood East,3134,
211031268,Ringwood North,3114,
211041269,Forest Hill,3131,
211041270,Mitcham (Vic.),3132,
211041271,Nunawading,3131,
211041272,Vermont,3133,
211041273,Vermont South,3133,
211051274,Belgrave - Selby,3156,
211051275,Chirnside Park,3116,
211051276,Healesville - Yarra Glen,3770,
211051277,Kilsyth,3137,
211051278,Lilydale - Coldstream,3140,
211051279,Monbulk - Silvan,3782,
211051280,Montrose,3137,
211051281,Mooroolbark,3116,
211051282,Mount Dandenong - Olinda,3159,
211051283,Mount Evelyn,3139,
211051284,Upwey - Tecoma,3156,
211051285,Wandin - Seville,3139,
211051286,Yarra Valley,3139,
212011287,Beaconsfield - Officer,3807,
212011288,Bunyip - Garfield,3810,
212011289,Emerald - Cockatoo,3139,
212011290,Koo Wee Rup,3809,
212011291,Pakenham - North,3810,
212011292,Pakenham - South,3810,
212021293,Berwick - North,3806,
212021294,Berwick - South,3805,
212021295,Doveton,3177,
212021296,Endeavour Hills,3156,
212021297,Hallam,3803,
212021298,Narre Warren,3805,
212021299,Narre Warren North,3803,
212031300,Cranbourne,3977,
212031301,Cranbourne East,3977,
212031302,Cranbourne North,3977,
212031303,Cranbourne South,3977,
212031304,Cranbourne West,3977,
212031305,Hampton Park - Lynbrook,3976,
212031306,Lynbrook - Lyndhurst,3975,
212031307,Narre Warren South,3805,
212031308,Pearcedale - Tooradin,3912,
212041309,Clarinda - Oakleigh South,3167,
212041310,Clayton South,3169,
212041311,Dandenong,3175,
212041312,Dandenong North,3174,
212041313,Dingley Village,3169,
212041314,Keysborough,3173,
212041315,Noble Park,3172,
212041316,Noble Park North,3174,
212041317,Springvale,3171,
212041318,Springvale South,3172,
212051319,Ashwood - Chadstone,3125,
212051320,Clayton,3167,
212051321,Glen Waverley - East,3150,
212051322,Glen Waverley - West,3150,
212051323,Mount Waverley - North,3149,
212051324,Mount Waverley - South,3149,
212051325,Mulgrave,3170,
212051326,Oakleigh - Huntingdale,3166,
212051327,Wheelers Hill,3150,
213011328,Ardeer - Albion,3020,
213011329,Cairnlea,3023,
213011330,Deer Park - Derrimut,3023,
213011331,Delahey,3037,
213011332,Keilor Downs,3021,
213011333,Kings Park (Vic.),3021,
213011334,St Albans - North,3021,
213011335,St Albans - South,3021,
213011336,Sunshine,3020,
213011337,Sunshine North,3020,
213011338,Sunshine West,3012,
213011339,Sydenham,3037,
213011340,Taylors Lakes,3036,
213021341,Altona,3018,
213021342,Altona Meadows,3028,
213021343,Altona North,3012,
213021344,Newport,3015,
213021345,Seabrook,3028,
213021346,Williamstown,3016,
213031347,Braybrook,3012,
213031348,Footscray,3011,
213031349,Maribyrnong,3032,
213031350,Seddon - Kingsville,3011,
213031351,West Footscray - Tottenham,3012,
213031352,Yarraville,3013,
213041353,Bacchus Marsh,3340,
213041354,Caroline Springs,3023,
213041355,Hillside,3037,
213041356,Melton,3335,
213041357,Melton South,3338,
213041358,Melton West,3337,
213041359,Rockbank - Mount Cottrell,3023,
213041360,Taylors Hill,3023,
213051361,Hoppers Crossing - North,3029,
213051362,Hoppers Crossing - South,3029,
213051363,Laverton,3026,
213051364,Point Cook,3030,
213051365,Tarneit,3024,
213051366,Truganina,3027,
213051367,Werribee,3029,
213051368,Werribee - South,3029,
213051369,Wyndham Vale,3024,
214011370,Carrum Downs,3201,
214011371,Frankston,3199,
214011372,Frankston North,3199,
214011373,Frankston South,3199,
214011374,Langwarrin,3910,
214011375,Seaford (Vic.),3197,
214011376,Skye - Sandhurst,3977,
214021377,Dromana,3936,
214021378,Flinders,3915,
214021379,Hastings - Somers,3915,
214021380,Mornington,3931,
214021381,Mount Eliza,3930,
214021382,Mount Martha,3934,
214021383,Point Nepean,3939,
214021384,Rosebud - McCrae,3936,
214021385,Somerville,3911,
215011386,Ararat,3377,
215011387,Ararat Region,3271,
215011388,Horsham,3400,
215011389,Horsham Region,3385,
215011390,Nhill Region,3393,
215011391,St Arnaud,3384,
215011392,Stawell,3374,
215011393,West Wimmera,3312,
215011394,Yarriambiack,3385,
215021395,Irymple,3498,
215021396,Merbein,3496,
215021397,Mildura,3498,
215021398,Mildura Region,3489,
215021399,Red Cliffs,3496,
215031400,Buloke,3393,
215031401,Gannawarra,3527,
215031402,Kerang,3579,
215031403,Robinvale,3549,
215031404,Swan Hill,3585,
215031405,Swan Hill Region,3544,
216011406,Echuca,3564,
216011407,Kyabram,3561,
216011408,Lockington - Gunbower,3561,
216011409,Rochester,3559,
216011410,Rushworth,3523,
216021411,Cobram,3644,
216021412,Moira,3636,
216021413,Numurkah,3634,
216021414,Yarrawonga,3730,
216031415,Mooroopna,3629,
216031416,Shepparton - North,3630,
216031417,Shepparton - South,3630,
216031418,Shepparton Region - East,3610,
216031419,Shepparton Region - West,3608,
217011420,Glenelg (Vic.),3285,
217011421,Hamilton (Vic.),3300,
217011422,Portland,3305,
217011423,Southern Grampians,3289,
217021424,Camperdown,3260,
217021425,Colac,3250,
217021426,Colac Region,3235,
217021427,Corangamite - North,3251,
217021428,Corangamite - South,3237,
217021429,Moyne - East,3265,
217021430,Moyne - West,3275,
217021431,Otway,3221,
217021432,Warrnambool - North,3275,
217021433,Warrnambool - South,3277,
